#;Código;Nombre genérico;Nombre comercial;Presentación
180;102072301;INSULINA NPH (HUMANA) 100U/ml, suspensión, S.C.;HUMULIN N 1-- UI/ ML SUSPENSIÓN INYECTABLE S.C. | NOVOLIN N 1-- UI/ML SUSPENSIÓN INYECTABLE S.C.;Vial/Ampolla
181;102072401;INSULINA REGULAR (HUMANA) 100U/ml,  solución, S.C., I.V.;HUMULIN R REGULAR 1-- UI/ ML SOLUCIÓN INYECTABLE S.C., I.V., INFUSIÓN I.V. | NOVOLIN R 1-- UI/ML SOLUCION INYECTABLE I.V. S.C.;Vial/Ampolla
182;102081501;INTERFERON BETA 1a 30mcg (6 millones UI), polvo liofilizado, I.M.;AVONEX 3-UG/-,5ML SOLUCIÓN INYECTABLE EN JERINGA PRELLENADA I.M.;Vial/Ampolla
183;102081401;INTERFERON BETA 1a 44mcg (12 millones UI), solución, sin albúmina, S.C.;REBIF NF 44 UG (12MUI)/-.5ML SOLUCIÓN INYECTABLE LIBRE DE ALBUMINA S.C. EN JERINGAS PRECARGADAS;Vial/Ampolla
184;103054701;IPRATROPIO BROMURO 15-20mcg/inhalación, solución en  aerosol, inhalador con 200-250 dosis, Vía Bucal.;Atrovent 2-mcg/dosis solución en aerosol | BROMURO DE IPRATROPIO AEROSOL 2- MCG/DOSIS;Inhalador
185;103057101;IPRATROPIO BROMURO 250mcg/ml, solución para nebulización,  frasco, 20ml.;ATROVENT 25-MCG/ML SOLUCIÓN PARA NEBULIZACIÓN | REQUILAR | IPATROP 25 MG / 1--ML SOLUCIÓN PARA NEBULIZAR INHALACIÓN ORAL Y NASAL;Inhalador
186;102081601;IRINOTECAN CLORHIDRATO 20mg/ml, solución, I.V.;IRINOTECAN Unipharm 1-- mg / 5 ml Concentrado para Solución Inyectable | CLORHIDRATO DE IRINOTECAN 2- MG / ML, SOLUCION INYECTABLE, I.V. | KEBIRTECAN 1--MG/5ML SOLUCIÓN INYECTABLE | Irinotecan Aurovitas 2- mg/ml Concentrado para Solución para Perfusión;Vial/Ampolla
187;101059301;ISONIAZIDA 100mg, tableta, V.O.;Solonex - 1-- (1-- mg) Tabletas;Pastilla - Cápsula
188;102048301;ISOPROTERENOL 0.2mg/ml, solución, I.V.;S/P REGISTRADO;Vial/Ampolla
189;101010601;ISOSORBIDE DINITRATO 5mg, tableta, Vía Sublingual.;Isosorbide Dinitrato Maxihealth 5 (5 mg) tabletas sublinguales;Pastilla - Cápsula
190;101090501;ITRACONAZOL 100mg, cápsula o tableta, V.O.;ITRACARE 1-- MG CÁPSULAS;Pastilla - Cápsula
191;102037201;KETAMINA 50mg/ml, solución, I.M., I.V.;ANESKET 5--mg/1-mL Solución Inyectable I.M., I.V | KETAMINA-5- 5-mg/mL Solución Inyectable | KETAMINA LABATEC;Vial/Ampolla
192;102090801;LABETALOL HIDROCLORURO 5mg/ml, solución, I.V.;Blocamine Solución Inyectable | LABETALOL CLORHIDRATO SOLUCIÓN INYECTABLE 1--MG/2-ML | LABETALOL CLORHIDRATO 1--mg/2-mL SOLUCION INYECTABLE | BIASCOR 5 MG/ML SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
193;103049101;LACTULOSA LÍQUIDO 667mg/ml, solución, frasco, 450-500ml, V.O.;AXANT SOLUCIÓN ORAL 65% | LACTULOSA 1- G/ 15 ML SOLUCIÓN ORAL | LACTULOSA MP 1-G/15ML SOLUCIÓN ORAL | LACTULOSA SOLUCIÓN USP 1-G/15ML;Frasco de jarabe
194;103060401;LAMIVUDINA 10mg/ml, solución, frasco, 240-300ml, V.O.;3TC 1-MG/ML SOLUCION ORAL;Frasco de jarabe
195;101090101;LAMIVUDINA 150mg, cápsula o tableta,  V.O.;LAMIVUDINA 15- MG TABLETAS RECUBIERTAS | 3TC 15-MG TABLETAS RECUBIERTAS;Pastilla - Cápsula
196;101083801;LEFLUNOMIDA 20mg, tableta, V.O.;LEFLUNOMIDA NORMON 2- MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG;Pastilla - Cápsula
197;101100001;LENALIDOMIDA 10mg, tableta o cápsula, V.O.;REVLIMID 1- MG CAPSULAS | APO-LENALIDOMIDA 5MG CÁPSULAS | Lenangio cápsulas 1- mg | LENALIDOMIDA GRINDEKS 1- MG CAPSULAS DURAS;Pastilla - Cápsula
198;101100101;LENALIDOMIDA 25mg, tableta o cápsula,  V.O.;REVLIMID 25 MG CÁPSULAS | APO-LENALIDOMIDA 25MG CÁPSULAS | Lenangio cápsulas 25 mg | LENALIDOMIDA GRINDEKS 25 MG CAPSULAS DURAS;Pastilla - Cápsula
199;101092001;LETROZOL  2.5mg, tableta, V.O.;LETROVITAE 2.5 MG COMPRIMIDOS RECUBIERTOS | LETROZOL 2.5 MG COMPRIMIDOS RECUBIERTOS | LETROZOL DENK 2.5 MG COMPRIMIDOS CON CUBIERTA PELICULAR | LETROZOL KERN PHARMA 2.5 MG COMPRIMIDOS RECUBIERTOS CON PEL-CULA;Pastilla - Cápsula
200;102074001;LEUCOVORINA CÁLCICA (ACIDO FOLÍNICO) 50mg, polvo liofilizado o  solución, I.M., I.V.;FOLINATO CALCICO 5-mg/4mL Solución Inyectable I.V., I.M. | INNEFOL 5-MG/4ML SOLUCIÓN INYECTABLE | LEUCOVORINA 1-MG/ML SOLUCIÓN INYECTABLE | FOLINATO DE CALCIO 5-MG/ VIAL POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE I.M., I.V. (INFUSIÓN;Vial/Ampolla
201;102080401;LEUPRORELINA (LEUPROLIDE) ACETATO 11.25mg, polvo liofilizado, S.C., I.M.;LUCRIN DEPOT 11.25 MG - 3 MESES POLVO ESTERIL LIOFILIZADO PARA SUSPENSION INYECTABLE + DILUYENTE, IM., S.C.;Vial/Ampolla
202;102092501;LEVOBUPIVACAÍNA CLORHIDRATO 5mg/ml, solución, Vía Parenteral.;LEVOBUPIVACAINA 5MG/ML SOLUCIÓN INYECTABLE Y PARA INFUSIÓN/ EPIDURAL, INTRATECAL, PERINEURAL, INFILTRACIÓN LOCAL;Vial/Ampolla
203;101063301;LEVODOPA con CARBIDOPA 250mg/25mg o LEVODOPA con BENSERAZIDE 200mg/50mg, tableta, V.O.;PROLOPA 2--MG + 5-MG COMPRIMIDOS | CLOISONE 25- MG / 25 MG TABLETAS;Pastilla - Cápsula
204;102093601;LEVOSIMENDAN 2.5mg/ml, solución, I.V.;MALIPAFED 2.5mg/mL Solución Inyectable I.V. | LEVOSIDAX 12.5 MG/5 ML SOLUCION INYECTABLE | LEVOSIMENDAN RICHET 12.5 MG POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE, I.V.;Vial/Ampolla
205;101079701;LEVOTIROXINA SAL SÓDICA 0.1mg, tableta, V.O.;EUTIROX 1-- (1-- MCG) TABLETA;Pastilla - Cápsula
206;102094901;LIDOCAÍNA 2%, solución sin preservativo, Vía Infiltración Local, Troncular, Peridural, I.M., I.V.;PISACAINA AL 2% SoluciÃ³n Inyectable SubcutÃ¡nea I.V., Troncular O Peridural.;Vial/Ampolla
207;102026801;LIGNOCAÍNA (LIDOCAÍNA) 2%, con preservativo, solución, I.M., I.V.;IJOCAINA AL 2 % SOLUCIÓN INYECTABLE I.M., I.V., S.C. | Lidocaína clorhidrato 2% (2-mg/mL) Solución inyectable I.M., I.V., S.C.;Vial/Ampolla
208;102092601;LINEZOLID 600mg, solución, I.V.;ZYVOX 2 MG/ML SOLUCION INYECTABLE PARA INFUSION I.V. | LINEZOLID NORMON 2 MG/ML SOLUCION PARA PERFUSION EFG | Linezolid 6-- mg / 3-- mL Solución para Infusión | LEZOPISA 2MG/ML SOLUCION INYECTABLE;Vial/Ampolla
209;101093501;LINEZOLID 600mg, tableta,  V.O.;LINEZOLID 6-- MG TABLETAS RECUBIERTAS | LIZOLID 6-- MG TABLETAS RECUBIERTAS | Linezolid 6-- mg Comprimidos Recubiertos;Pastilla - Cápsula
210;101092101;LISINOPRIL 20mg, tableta, V.O.;LISINOPRIL CINFA 2-MG COMPRIMIDOS | LISINOPRIL NORMON 2- MG COMPRIMIDOS EFG | ECAPRIL 2- MG COMPRIMIDOS | Lisinopril tabletas USP 2- mg;Pastilla - Cápsula
211;101034901;LITIO CARBONATO 300mg, cápsula o tableta, V.O.;CARBOLIT 3-- (3-- MG) CÁPSULAS | CARBONATO DE LITIO CÁPSULAS USP 3--MG | CARBONATO DE LITIO TABLETAS DE LIBERACIÓN PROLONGADA USP 3-- MG;Pastilla - Cápsula
212;103057501;LOPINAVIR 80mg-RITONAVIR 20mg/ml, solución, frasco, V.O.;KALETRA 8-/2- MG/ML SOLUCIÓN ORAL;Frasco de jarabe
213;102011701;MAGNESIO SULFATO 10%, solución, I.V.;MAGNEFUSIN AL 1-% SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
214;102037601;MANITOL 20%, solución para Infusión Intravenosa, con equipo adaptable desechable, I.V., (con filtro).;OSMOROL 2- (2-G/1--ML) SOLUCION INYECTABLE I.V.;Vial/Ampolla
215;102081801;MEGLUMINA ANTIMONIATO 1.5g/5ml, sal activa en solución 81mg/ml, I.M., I.V.;GLUCANTIME 1.5 G/5 ML SOLUCIÓN INYECTABLE I.M., I.V.;Vial/Ampolla
216;101018501;MELFALANO 2mg, tableta, V.O.;S/P REGISTRADO;Pastilla - Cápsula
217;102092701;MELFALANO CLORHIDRATO 50mg, polvo liofilizado, I.V.;melfalán5- mg, polvo liofilizado, solucion inyectable i.v.;Vial/Ampolla
218;101043001;MERCAPTOPURINA 50mg,  tableta, V.O.;PURI-NETHOL 5-MG TABLETAS;Pastilla - Cápsula
219;102077901;MEROPENEM 1g, polvo liofilizado, I.V.;Meropenem 1g Polvo para Solución Inyectable | PISAPEM 1G POLVO PARA SOLUCION INYECTABLE I.V. + DILUYENTE. | MEROPENEM 1.- G POLVO PARA INYECCION I.V. | MEROSEG MEROPENEM 1G POLVO PARA SOLUCIÓN INYECTABLE;Vial/Ampolla
220;101074801;METFORMINA CLORHIDRATO 850mg, tableta ranurada,  V.O.;METFORVITAE 85- MG COMPRIMIDOS RECUBIERTO | DIABETINA 85- MG TABLETAS | APO-METFORMINA 85-MG TABLETAS RECUBIERTAS. | Metformina 85-mg tabletas recubiertas;Pastilla - Cápsula
221;101018401;METILDOPA 250mg, tableta, V.O.;Aldomet 25- mg Tabletas Recubiertas;Pastilla - Cápsula
222;102012401;METILERGONOVINA 0.2mg/ml, solución, I.M., I.V.;METILERGONOVINA MALEATO USP -.2 MG/ML SOLUCION INYECTABLE;Vial/Ampolla
223;102017101;"METILPREDNISOLONA ACETATO o TRIAMCINOLONA ACETONIDO o DIACETATO: 40mg/ml, solución o suspensión, Intramuscular; Intraarticular, Tejidos Blandos e Intralesional.";DEPO-MEDROL 4-MG/ML SUSPENSION INYECTABLE I.M., I.SINOVIAL Y EN TEJIDOS BLANDO;Vial/Ampolla
224;102061601;METILPREDNISOLONA SUCCINATO SÓDICO 500mg polvo liofilizado o solución, I.V.;CORTISOLONA 5-- mg POLVO PARA SOLUCIÓN INYECTABLE | Metilprednisolona 5--mg Polvo para Solución Inyectable | LISAMETHYLE 5-- MG POLVO PARA SOLUCIÓN INYECTABLE;Vial/Ampolla
225;102079601;METOTREXATE 1g, solución I.M., I.T, I.V.;HI-TREX-PF (METOTREXATO BP 1-- MG/ML) INYECCIÓN | METROTEXATE DE 1 GR VIAL;Vial/Ampolla
226;101022301;METOTREXATE 2.5mg, tableta, V.O.;METOTREXATO 2.5MG TABLETAS SANDOZ | ETOTREXATO 2.5 MG USP TABLETAS;Pastilla - Cápsula
227;102053901;METOTREXATE 25mg/ml, solución isotónica parenteral libre de preservativos, I.M., I.T., I.V.;Unitrexate 5-mg/2mL solución inyectable I.V./I.M./Intratecal;Vial/Ampolla
228;102069001;METRONIDAZOL 500mg, solución, I.V.;Metronidazol 5-- mg (5mg/ml) Solución Inyectable para Infusión | OTROZOL 5-- SOLUCION INYECTABLE | METRONIDAZOL B.BRAUN 5 MG/ML SOLUCIÓN PARA PERFUSIÓN | CUMET 5-- mg/1-- ml SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA;Vial/Ampolla
229;101087401;MICOFENOLATO MOFETILO 250mg, cápsula, V.O.;CELLCEPT 25- MG CÁPSULAS | APO-MICOFENOLATO 25- MG CAPSULAS | MYCORT 25- (MICOFENOLATO MOFETILO 25- MG CÁPSULAS);Pastilla - Cápsula
230;102092801;MILRINONA 1mg/ml, solución, I.V.;MILRINONA 1-MG / 1-ML SOLUCIÓN INYECTABLE | MILRICOR SOLUCIÓN INYECTABL | MILRINONA 1- MG/1- ML SOLUCION INYECTABLE;Vial/Ampolla
231;101093601;MINOXIDIL 10mg, tableta, V.O.;VAXDIL 1- MG TABLETAS. | MINODIL 1- MG TABLETAS;Pastilla - Cápsula
232;102045801;MITOMICINA 5mg, polvo liofilizado, I.V.;Maximitom Polvo Liofilizado Inyectable;Vial/Ampolla
233;102066801;MORFINA CLORHIDRATO o SULFATO 10mg/ml, solución, S.C., I.M., I.V.;MORPHIN-HAMELN 1-MG/ML SOLUCIÓN INYECTABLE S.C., I.M., I.V., EPIDURAL E INTRATECAL | MORFINA CLORHIDRATO TRIHIDRATO 1-MG/ML SOLUCIÓN INYECTABLE I.M., I.V., S.C | MORPHIN-HAMELN 1-MG/ML SOLUCIÓN INYECTABLE S.C., I.M., I.V., EPIDURAL E INTRATECA | MORFINA CLORHIDRATO TRIHIDRATO 1-MG/ML SOLUCIÓN INYECTABLE I.M., I.V., S.C.;Vial/Ampolla
234;101084001;MORFINA SULFATO 15mg, cápsula o tableta, V.O. (Control Narcóticos).;MORFINEX 15 MG TABLETAS | MORFIA 15 MG TABLETAS;Pastilla - Cápsula
235;102007401;NALOXONA 0.4mg/ml, solución, I.M., I.V., S.C.;NALOXONA HCL -.4 MG/ML SOLUCIÓN INYECTABLE I.M., I.V., S.C. | Nalox -.4 mg/mL Solución Inyectable I.M., I.V., S.C.;Vial/Ampolla
236;102016401;NEOSTIGMINA METILSULFATO 0.5mg/ml, solución, I.M., I.V., S.C.;PROSTIGMINE -.5 MG/ML SOLUCION INYECTABLE I.M., I.V., S.C. | NEOSTIGMINA METILSULFATO -.5 MG/ML, SOLUCIÓN INYECTABLE, I.M., I.V., S.C | NEOSTIGMINA METILSULFATO -.5MG/ML SOLUCION INYECTABLE I.M., I.V., S.C. | NEOSTIGMINA METILSULFATO -.5 MG/ML, SOLUCIÓN INYECTABLE, I.M., I.V., S.C.;Vial/Ampolla
237;101101101;NILOTINIB 150mg, cápsula, V.O.;TASIGNA 15-MG CAPSULAS;Pastilla - Cápsula
238;101096001;NILOTINIB 200mg, cápsula, V.O.;TASIGNA 2-- MG CAPSULAS;Pastilla - Cápsula
239;102075501;NIMODIPINA 10mg/50ml, solución, I.V.;NIMODIPINO 1-mg/5-mL Solución Inyectable para Infusión I.V;Vial/Ampolla
240;102040801;NITROPRUSIATO SÓDICO 50mg, polvo liofilizado o solución, I.V.;NITROPRUSIATO DE SODIO 5-MG/2ML SOLUCIÓN INYECTABLE;Vial/Ampolla
241;102013401;NOREPINEFRINA BITARTRATO (sal), equivalente a NOREPINEFRINA (base) 1mg/ml, solución, I.V.;PRIDAM 4 MG / 4 ML SOLUCION INYECTABLE I.V. | NORADRENALINA SINTETICA 4MG/4ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN;Vial/Ampolla
242;102082601;OCRELIZUMAB 30mg/ml solución I.V.;Ocrevus 3--mg/1-ml concentrado para solución para infusión I.V.;Vial/Ampolla
243;102075601;OCTREOTIDE 0.1mg, solución, I.V., S.C.;SANDOSTATIN -,1 MG/ML SOLUCIÓN INYECTABLE INFUSION I.V., S.C. | OTIDE 1-- (1--MCG/ML) SOLUCION INYECTABLE S.C., I.V.;Vial/Ampolla
244;102090701;OCTREOTIDE 20mg, acción prolongada, polvo liofilizado, I.M.;OCTREOTIDA 2-MG / VIAL POLVO Y DISOLVENTE PARA SUSPENSIÓN INYECTABLE DE LIBERACIÓN PROLONGADA | SANDOSTATIN LAR 2- MG/VIAL POLVO (MICROESFERAS) PARA SUSPENSIÓN INYECTABLE I.M. + DILUYENTE;Vial/Ampolla
245;101091401;OLANZAPINA 10mg, tableta o tableta dispersable, V.O.;ZYPREXA ZYDIS 1- MG COMPRIMIDOS BUCODISPERSABLES | APO-OLANZAPINA 1-MG TABLETAS RECUBIERTAS | FONTANIVIO 1- MG TABLETAS | OLEXAR -1- (1-MG ) TABLETAS RECUBIERTAS;Pastilla - Cápsula
246;102078301;OLIGOELEMENTOS o ELEMENTOS TRAZAS PARA ADULTOS CON ZINC, COBRE, MANGANESO Y CROMO, solución, I.V.;ADDAVEN CONCENTRADO PARA SOLUCION POR INFUSION;Vial/Ampolla
247;102013801;OLIGOELEMENTOS o ELEMENTOS TRAZAS PARA PEDIATRÍA CON ZINC, COBRE, MANGANESO, solución, I.V.;TRACEFUSIN SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
248;101059401;OMEPRAZOL 20mg,  cápsula con microesferas gastrorresistentes, V.O.;OMEPRAZOL CINFA 2- MG CAPSULAS DURAS GASTRORRESISTENTES | OMENOR 2-MG CÁPSULAS DURAS GASTRORRESISTENTES | OMEPRAZOL 2- MG CAPSULA GASTRO RESISTENTE | OMEPRAZOL 2- MG CAPSULAS;Pastilla - Cápsula
249;102078701;OMEPRAZOL 40mg, polvo liofilizado, I.V.;Omeprazol Normon 4-mg / Vial Polvo para Solución para Perfusión EFG | OMEPRAZOL 4-MG POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE INFUSIÓN I.V. | FLAGOSEC 4-MG/VIAL POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE I.V. | Omeprazol (Sódico) 4- mg Polvo para Solución Inyectable;Vial/Ampolla
250;102041901;OXACILINA SÓDICA 1g, polvo liofilizado, I.V.;OXACILINA (SODICA) 1 G/VIAL POLVO PARA SOLUCION INYECTABLE I.M., I.V., INFUSION I.V | OXACILINA 1G POLVO ESTERIL PARA RECONSTITUIR A SOLUCIÓN INYECTABLE I.M., I.V;Vial/Ampolla
251;101097201;OXICODONA CLORHIDRATO 10mg, tableta de liberación prolongada, V.O.;S/P REGISTRADO;Pastilla - Cápsula
252;101097301;OXICODONA CLORHIDRATO 20mg, tableta de liberación prolongada, V.O.;ENDOCODIL XR 2-MG TABLETAS DE LIBERACIÓN PROLONGADA;Pastilla - Cápsula
253;102020101;OXITOCINA SINTÉTICA 5-10UI/ml, solución, I.V.;OXITOPISA 5UI/ML SOLUCIÓN INYECTABLE I.M., I.V. (DILUIDA). | OXITOCINA 5 UI/ML SOLUCIÓN INYECTABLE I.M., I.V. LENTA;Vial/Ampolla
254;103000201;OXÍGENO MÉDICO, no menor de 99.0%, gas, Vía Inhalatoria.;;Gas medicinal
255;101077501;PARACETAMOL (ACETAMINOFÉN) 300-325mg con CODEÍNA FOSFATO 30mg, tableta, V.O. (Control Narcóticos);Atercod (3--mg/3-mg) tabletas | ANALFEN CON CODEÍNA 325 MG/3- MG COMPRIMIDOS;Pastilla - Cápsula
256;102100101;PARACETAMOL 10mg/ml, solución para perfusión, I.V.;PARACONICA 1--- MG, SOLUCIÓN PARA PERFUSIÓN, I.V. | PARANOR 1- MG/ ML SOLUCION PARA PERFUSION | XFEBRIL 1- MG / ML SOLUCIÓN CONCENTRADA PARA INFUSIÓN IV | SALPIFAR 1g/1--mL Solución Inyectable I.V;Vial/Ampolla
257;101101201;PARICALCITOL 2mcg, cápsula, V.O.;ZEMPLAR 2 MCG CAPSULAS;Pastilla - Cápsula
258;102092901;PARICALCITOL 5mcg/ml, solución, I.V.;Paricalcitol Sandoz 5mcg/ml solución inyectable I.V. | PARICALCITOL ACCORD 5 MICROGRAMOS/ML SOLUCIÓN INYECTABLE EFG | RICALCITOL D 5 MCG/ML SOLUCION INYECTABLE INTRAVENOSA | PARICALCITOL 5 MCG/ML SOLUCIÓN INYECTABLE;Vial/Ampolla
259;102078001;PIPERACILINA 4g con TAZOBACTAM 500mg, polvo liofilizado, I.V.;AMPITOTAL 4 g + -.5 g POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE | PIPERACILINA 4G + TAZOBACTAM -.5G, POLVO PARA SOLUCIÓN INYECTABL | Piperacilina Sódica y Tazobactam sódico para inyección | PIPERAZAM 4.5G/VIAL POLVO ESTERIL PARA SOLUCION INYECTABLE I.V. POR PERFUSION;Vial/Ampolla
260;101018301;PIRIDOSTIGMINA BROMURO 60mg, tableta, V.O.;MESTINON 6- MG TABLETAS;Pastilla - Cápsula
261;103030501;POLIESTIRENO SULFONATO, polvo, pote o frasco, 453.6 g,  V.O., Vía Rectal.;KAYEXALATE 99.934% POLVO PARA SUSPENSIÓN ORAL/RECTAL;Óvulo/Supositorio
262;103062101;POLIETILENGLICOL 3350, CON ELECTROLITOS (SULFATO DE SODIO ANHIDRO, BICARBONATO DE  SODIO, CLORURO DE SODIO, CLORURO DE POTASIO), polvo para solución, V.O.;KLEAN PREP LAXANTES;Frasco de jarabe
263;102093001;POLIMIXINA B SULFATO 500,000UI, polvo o solución, I.M., I.V.;POLIXIN CB POLVO PARA SOLUCION INYECTABLE I.M., I.V, INTRATECAL;Vial/Ampolla
264;102014901;POTASIO CLORURO 2mEq/ml, solución, I.V.;CLORURO DE POTASIO 1.49 G / 1- ML SOLUCIÓN INYECT | CLORURO DE POTASIO 14.9% SOLUCIÓN INYECTABLE I.V. POR INFUSIÓ;Vial/Ampolla
265;102078401;POTASIO FOSFATO 3mmol/ml, solución, I.V.;FOSFATO DE POTASIO INYECCIÓN USP 45MM/15ML FOSFORO 66MEQ/15ML POTASIO;Vial/Ampolla
266;103006801;POTASIO GLUCONATO 20mEq/15ml, elixir, frasco, 150-200ml, V.O.;IONKA 2- MEQ / 15 ML ELIXIR.;Frasco de jarabe
267;101062501;PRAZOSINA 2mg, tableta ranurada, V.O.;APO-PRAZO 2 MG TABLETAS;Pastilla - Cápsula
268;103056801;PREDNISONA o PREDNISOLONA 1-3mg/ml, jarabe o solución, 60- 120ml, V.O.;PRELONE 15 MG / 5 ML JARABE | DOPRESOL SOLUCION ORAL | PREDNISOLONA (FOSFATO SÓDICO) 3 MG/ML SOLUCIÓN ORAL;Frasco de jarabe
269;101024201;PREDNISONA o PREDNISOLONA 5mg, tableta, V.O.;PREDNISONA 5MG COMPRIMIDOS;Pastilla - Cápsula
270;101093801;PROPAFENONA 150mg, tableta, V.O.;Rytmonorm 15-mg tabletas recubiertas;Pastilla - Cápsula
271;102073001;PROPOFOL 10mg/ml, emulsión, I.V.;DIPRIVAN 1- MG/ML (1 %) EMULSIÓN INYECTABLE I.V. EN JERINGUILLAS PRELLENDAS Y AMPOLLAS | PROFOL 1% EMULSIÓN PARA INYECCIÓN O INFUSIÓN INTRAVENOSA | POFOL 1-MG/ML EMULSION INYECTABLE I.V. | PROPOFOL 1% MCT EMULSIÓN INYECTABLE 1-MG/ML;Vial/Ampolla
272;101053901;PROPRANOLOL CLORHIDRATO 10mg, tableta, V.O.;PROPRANOLOL HCL 1- MG;Pastilla - Cápsula
273;102048601;PROPRANOLOL CLORHIDRATO 1mg/ml, solución, I.V.;PROPRANOLOL CLORHIDRATO 1MG/1ML SOLUCION INYECTABLE I.V. LENTA.;Vial/Ampolla
274;101054001;PROPRANOLOL CLORHIDRATO 40mg, tableta, V.O.;S/P REGISTRADO;Pastilla - Cápsula
275;102053501;PROTAMINA CLORHIDRATO o SULFATO 10mg/ml ó 1,000U/ml, solución, I.V.;S/P REGISTRADO;Vial/Ampolla
276;101091201;RIFAMPICINA 120mg con ISONIAZIDA 50mg con PIRAZINAMIDA 300mg, cápsula o tableta, V.O.;S/P REGISTRADO;Pastilla - Cápsula
277;101068801;RIFAMPICINA 150mg con ISONIAZIDA 100mg, cápsula o tableta,  V.O.;S/P REGISTRADO;Pastilla - Cápsula
278;101047001;RIFAMPICINA 300mg, cápsula o tableta,  V.O.;RIFAMPICINA 3-- mg CÁPSULA | RIFAMPICINA 3-- MG | RIFAMPICINA LABATEC;Pastilla - Cápsula
279;102009401;RINGER LACTATO, solución, envase plástico (bolsa o frasco), con equipo adaptable desechable para Infusión Intravenosa 1,000ml.;SOLUCIÓN HT PISA SOLUCIÓN INYECTABLE I.V. | OLUCIÓN HT PISA SOLUCIÓN INYECTABLE I.V. | SOLUCION HARTMANN (LACTATO DE RINGER) INYECTABLE I.V.;Vial/Ampolla
280;102010701;RINGER LACTATO, solución, envase plástico (bolsa o frasco), con equipo adaptable desechable para Infusión Intravenosa, 500ml.;SOLUCIÓN HT PISA SOLUCIÓN INYECTABLE I.V. | SOLUCION INYECTABLE DE LACTATO DE RINGER USP I.V. | SOLUCION HARTMANN (LACTATO DE RINGER) INYECTABLE I.V.;Vial/Ampolla
281;102080801;RITUXIMAB 100mg, solución, I.V.;Mabthera 1-mg/ml (5--mg/5-ml y 1--mg/1-ml) concentrado para solución para infusión | TRUXIMA 5--MG/5-ML Y 1--MG/1-ML CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN I.V. | RIXATHON 1-MG/ML (1--MG/1-ML Y 5--MG/5-ML) CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN I.;Vial/Ampolla
282;102081701;RITUXIMAB 500mg, solución, I.V.;Mabthera 1-mg/ml (5--mg/5-ml y 1--mg/1-ml) concentrado para solución para infusión | TRUXIMA 5--MG/5-ML Y 1--MG/1-ML CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN I.V. | RIXATHON 1-MG/ML (1--MG/1-ML Y 5--MG/5-ML) CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN I;Vial/Ampolla
283;103048601;SALES DE REHIDRATACIÓN ORAL,  con un contenido mínimo de: DEXTROSA (GLUCOSA) ANHIDRA 20g, SODIO CLORURO 3.5g,  SODIO CITRATO DIHIDRATADO 2.9g, POTASIO  CLORURO 1.5g, polvo, sobre, V.O.;ELECTRO - DEX SABOR A LIMON POLVO PARA SUERO ORAL. | ELECTROLITOS APO-POLVO SABOR NARANJA | LECTROLITOS APO POLVO PARA SOLUCIÓN SUERO ORAL SABOR A MANZANA. | ELECTROLITOS APO POLVO PARA SOLUCION SUERO ORAL SABOR A PIÑA.;Frasco de jarabe
284;101097101;SEVELAMER CARBONATO 800mg, tableta, V.O.;ARBONATO DE SEVELAMER ANHIDRO 8--MG TABLETAS RECUBIERTAS | Sevelamer carbonato 8-- mg tabletas | LAMERIS 8-- MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA;Pastilla - Cápsula
285;103040801;SEVOFLURANO, solución, frasco, 250ml, Inhalación.;sevorane 1--% anestÃ©sico liquido por inhalaciÃ³n | FLOVES 1--% Solución | SOJOURN SEVOFLURANO USP ANESTÉSICO PARA INHALACIÓN;Inhalador
286;101094001;SIROLIMUS 1mg, tableta, V.O.;RAPAMUNE 1 MG TABLETAS RECUBIERTAS;Pastilla - Cápsula
287;102018101;SODIO BICARBONATO 7.5%, solución hipertónica, I.V.;BICAR-NAT 7.5% Solución Inyectable I.V.;Vial/Ampolla
288;102099401;SODIO CLORURO al 0.9%, solución, bolsa plástica con dos salidas, con equipo adaptable desechable para Infusión Intravenosa, 100ml.;CLORURO DE SODIO AL -.9% SOLUCION INYECTABLE IV | CLORURO DE SODIO AL -.9 % EN AGUA INYECTABLE BAXTER I.V. | SOLUCIÓN ISOTONICA DE CLORURO DE SODIO AL -.9% SOLUCIÓN INYECTABLE I.V;Vial/Ampolla
