#;Código;Nombre genérico;Nombre comercial;Presentación
103;102004601;DEXTROSA EN AGUA al 5% en SOLUCIÓN SALINA al 0.9%, solución, envase plástico (bolsa o frasco) con equipo adaptable desechable para Infusión Intravenosa, 500ml.;SOLUCIÓN DX-CS PISA (CLORURO DE SODIO -.9% Y GLUCOSA 5%) SOLUCIÓN INYECTABLE I.V. | DEXTROSA AL 5% Y CLORURO DE SODIO AL -.9% SOLUCIÓN INYECTABLE I.V. | CLORURO DE SODIO Y DEXTROSA /(-.9% P/V Y 5% P/V)/ SOLUCIÓN INYECTABLE PARA INFUSIÓN INTRAVENOSA;Vial/Ampolla
104;102004701;DEXTROSA EN AGUA al 5% en SOLUCIÓN SALINA al 0.9%, solución, envase plástico (bolsa o frasco), con equipo adaptable desechable para Infusión Intravenosa, 1,000ml.;SOLUCIÓN DX-CS PISA (CLORURO DE SODIO -.9% Y GLUCOSA 5%) SOLUCIÓN INYECTABLE I.V. | DEXTROSA AL 5% Y CLORURO DE SODIO AL -.9% SOLUCIÓN INYECTABLE I.V. | CLORURO DE SODIO Y DEXTROSA /(-.9% P/V Y 5% P/V)/ SOLUCIÓN INYECTABLE PARA INFUSIÓN INTRAVENOSA | SOLUCION INYECTABLE DE DEXTROSA AL 5% Y CLORURO DE SODIO AL -.9%;Vial/Ampolla
105;102094701;DEXTROSA EN AGUA al 5%, solución, bolsa plástica con dos salidas, con equipo adaptable desechable para Infusión Intravenosa, 100ml.;DEXTROSA 5% SOLUCIÓN INYECTABLE | DEXTROSA AL 5 % EN AGUA INYECTABLE BAXTER SOLUCION INYECTABLE I.V. | SOLUCION INYECTABLE DE DEXTROSA AL 5% I.V.;Vial/Ampolla
106;102094601;DEXTROSA EN AGUA al 5%, solución, bolsa plástica con dos salidas, con equipo adaptable desechable para Infusión Intravenosa, 50ml.;DEXTROSA AL 5 % EN AGUA INYECTABLE BAXTER SOLUCION INYECTABLE I.V. | SOLUCION INYECTABLE DE DEXTROSA AL 5% I.V.;Vial/Ampolla
107;102004801;DEXTROSA EN AGUA al 5%, solución, envase plástico (bolsa o frasco), con equipo adaptable desechable para Infusión Intravenosa, 500ml.;DEXTROSA 5% SOLUCIÓN INYECTABL | OLUCIÓN DX-5 PISA SOLUCION INYECTABLE | DEXTROSA 5 % P/V SOLUCIÓN INYECTABLE PARA INFUSIÓN INTRAVENOSA. | SOLUCION INYECTABLE DE DEXTROSA AL 5% I.V.;Vial/Ampolla
108;103022101;DICLOXACILINA 250mg/5ml, polvo para suspensión, frasco,  60–100ml, V.O.;DICLOBIOTIK S 25-MG/5ML POLVO PARA SUSPENSION ORAL;Frasco de jarabe
109;101061701;DICLOXACILINA 500mg, cápsula, V.O.;DICLOBIOTIK 5-- MG CÁPSULAS | DICLOXACILINA 5-- MG MK CÁPSULAS | DICLOXACILINA 5-- MG CAPSULAS | DICLOXACILINA SODICA CAPSULAS USP 5--MG;Pastilla - Cápsula
110;102002101;DIFENHIDRAMINA 10mg/ml, solución, I.M., I.V.;KLONADRYL ANTIALERGICO 1- MG/ML SOLUCION INYECTABLE;Vial/Ampolla
111;101008501;DIGOXINA 0.25mg, tableta, V.O.;DIGOXINA KERN PHARMA -,25 MG COMPRIMIDOS;Pastilla - Cápsula
112;102049301;DIGOXINA 0.25mg/ml, solución, I.V.;DIGOXINA -.5mg/2mL Solución Inyectable;Vial/Ampolla
113;102052401;DIMENHIDRINATO 10mg/ml, solución, I.V.;Gravidex 5-mg/5ml Solución Inyectable I.M. Profundo, I.V.;Vial/Ampolla
114;102094201;DIPÉPTIDO ALANINA-GLUTAMINA al 20%, solución, frasco, 100ml, I.V.;DIPEPTIVEN 2-- MG/ML SOLUCION CONCENTRADA PARA INFUSION I.V.;Vial/Ampolla
115;102063001;DOBUTAMINA 250mg, solución, I.V.;DOBUTAMINA 12.5 MG/ML SOLUCIÓN INYECTABLE, I.V. | DOBUTAMINA 25- MG/ 5 ML SOLUCION INYECTABLE | Dobutamina 25- mg/5ml Solución Inyectable | DOBUCIN 5- MG/ML SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
116;102045101;DOPAMINA CLORHIDRATO 40-50mg/ml, solución, I.V.;INOTROPISA 2--MG/5ML SOLUCIÓN INYECTABLE I.V. LENTA | DOPAMINA CLORHIDRATO/ 2-- MG /5ML/ SOLUCIÓN INYECTABLE/ INFUSIÓN I.V.;Vial/Ampolla
117;101085801;DOXICICLINA 100mg, base clorhidrato o hiclato, cápsula o tableta, V.O.;SuPRaMyCiNa 1-- mg TABLETAS | APO-DOXY 1-- MG CAPSULAS | APO-GABAPENTINA 3--MG CAPSULAS | PO-DOXY 1-- MG CAPSULAS;Pastilla - Cápsula
118;102008901;DOXORUBICINA CLORHIDRATO 10mg-50mg, polvo liofilizado o solución, I.V.;DOXORUBICINA CLORHIDRATO 1-MG/5ML SOLUCIÓN INYECTABLE I.V. (INFUSIÓN);Vial/Ampolla
119;102083601;EMICIZUMAB 150mg/ml, solución, S.C.;Hemlibra 15-mg/ml (15-mg/mL, 1-5mg/-.7ml y 6-mg/-.4ml) Solución para inyección subcutánea;Vial/Ampolla
120;102083501;EMICIZUMAB 30mg/ml, solución, S.C.;Hemlibra 3-mg/1ml solución para inyección subcutanea;Vial/Ampolla
121;101097001;EMTRICITABINA 200mg/ TENOFOVIR 300mg, tableta, V.O.;TRUVADA 2-- MG / 3-- MG TABLETAS RECUBIERTAS | Emtricitabina y Tenofovir Disoproxil Fumarato 2--mg + 3--mg tabletas recubiertas | EMTRICITABINA 2--MG/ TENOFOVIR DISOPROXILO FUMARATO 3--MG TABLETAS RECUBIERTAS | EMTRICITABINA 2-- MG/TENOFOVIR DISOPROXIL FUMARATO 3--MG TABLETAS RECUBIERTAS CON PELICULA;Pastilla - Cápsula
122;102070601;EMULSIÓN DE LÍPIDOS DE CUARTA GENERACIÓN: ACEITE DE SOYA 40-60g/1000ml, TRIGLICÉRIDOS DE CADENA MEDIA 40-60g/1000ml, ACEITE DE OLIVA 40-60g/1000ml, ACEITE DE PESCADO RICO EN OMEGA-3 20-30g/1000ml, bolsa plástica o frasco, 500ml, I.V.;SMOFLIPID 2-% EMULSION PARA INYECCION I.V. (INF.);Vial/Ampolla
123;102080901;EPOETINA  (ERITROPOYETINA)  20,000-50,000UI, solución o polvo, S.C., I.V.;Recormon 3- --- UI/-.6ml Jeringa precargada con solución inyectable S.C. I.V. | Binocrit 3-.---UI/-.75ml solución para inyección en jeringa prellenada;Vial/Ampolla
124;102073401;ERITROPOYETINA 2,000UI, solución, polvo liofilizado, S.C., I.V.;Binocrit 2--- UI / 1ml soluciÃ³n para inyecciÃ³n en jeringa prellenada | IOR EPOCIM- 2--- UI/ML SOLUCIÓN INYECTABLE I.V., S.C.;Vial/Ampolla
125;102082401;ERTAPENEM 1g, polvo liofilizado para solución inyectable, I.M., I.V.;INVANZ 1 G POLVO LIOFILIZADO PARA SOLUCION INYECTABLE I.M., I.V. | ERTAPENEM 1G/VIAL (COMO ERTAPENEM SÓDICO) POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE I.M., I.V. POR INFUSIÓN | Ertapenem Aurovitas 1 g polvo para concentrado para solución para perfusión EFG | Ertapenem 1 g Polvo Liofilizado para Solución Inyectable;Vial/Ampolla
126;101068401;ESPIRAMICINA 1.0-1.5 millones UI, cápsula o tableta, V.O.;S/P REGISTRADO;Pastilla - Cápsula
127;102006701;ESTREPTOMICINA SULFATO 1g, polvo liofilizado, I.M.;S/P REGISTRADO;Vial/Ampolla
128;101060601;ETAMBUTOL 400mg, tableta,  V.O.;ETAMBUTOL 4-- MG;Pastilla - Cápsula
129;102091701;ETANERCEPT 50mg, S.C.;ENBREL 5-MG SOLUCIÓN INYECTABLE EN JERINGA PRELLENADA;Vial/Ampolla
130;102064701;ETOPÓSIDO 20mg/ml, solución, I.V.;ETOPÓSIDO 2-MG/ML SOLUCIÓN INYECTABLE IV;Vial/Ampolla
131;101099501;EVEROLIMUS 0.5mg, tableta, V.O.;CERTICAN -.5 MG COMPRIMIDOS;Pastilla - Cápsula
